method,rank,alpha,gate_percentile,subset,variant,clutter_attenuation_db,target_loss_db,target_retention_ratio,score_mean,pfa_target,threshold,pd,empirical_pfa,target_count,bg_count,path,image_index
raw,0,,,simMed,raw,0.0,0.0,1.0,56.77360962442388,1e-05,11124.174632589524,0.023255813953488372,1.526880735345762e-05,43,65493,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
raw,0,,,simMed,raw,0.0,0.0,1.0,56.77360962442388,3e-05,9655.504170691933,0.046511627906976744,3.053761470691524e-05,43,65493,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
raw,0,,,simMed,raw,0.0,0.0,1.0,56.77360962442388,0.0001,7458.75823650836,0.09302325581395349,0.00010688165147420336,43,65493,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
raw,0,,,simMed,raw,0.0,0.0,1.0,56.77360962442388,0.0003,5149.309725533863,0.11627906976744186,0.00030537614706915243,43,65493,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
raw,0,,,simMed,raw,0.0,0.0,1.0,56.77360962442388,0.001,3601.5911821606123,0.23255813953488372,0.001007741285328203,43,65493,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
raw,0,,,simMed,raw,0.0,0.0,1.0,56.77360962442388,0.003,2386.8852097332096,0.32558139534883723,0.0030079550486311513,43,65493,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
raw,0,,,simMed,raw,0.0,0.0,1.0,56.77360962442388,0.01,1286.4468520244625,0.46511627906976744,0.010001068816514741,43,65493,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
low_rank_residual,5,,,simMed,low_rank_residual_k5,7.22613762068999,3.714524677454696,0.4251552362492702,10.753076739369304,1e-05,8143.263063957227,0.046511627906976744,1.526880735345762e-05,43,65493,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
low_rank_residual,5,,,simMed,low_rank_residual_k5,7.22613762068999,3.714524677454696,0.4251552362492702,10.753076739369304,3e-05,5870.939176578246,0.09302325581395349,3.053761470691524e-05,43,65493,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
low_rank_residual,5,,,simMed,low_rank_residual_k5,7.22613762068999,3.714524677454696,0.4251552362492702,10.753076739369304,0.0001,3953.1533001003054,0.18604651162790697,0.00010688165147420336,43,65493,C:\Users\刘子轩\Desktop\TP-SSCS项目\data\downloads\aistap_sim\sampledata\sampledata\simMed\simMed_sample.mat,0
